date_added,title,company,location,requirements,salary,contract_type,working_hours,link,source
2025-10-06 09:53:41,Machine Learning Engineer,N/A,تهران، تهران,"Yektanet is Hiring a Machine Learning (ML) Engineer to join our dynamic and innovative team. You will help us build and deploy scalable machine learning models using big data and distributed systems. These models will improve our products, optimize our services and impact our core business metrics. As an ML Engineer, you will work closely with our engineering teams to identify and solve various challenging problems using machine learning. You will also be responsible for developing, maintaining and optimizing the machine learning models and MLOps infrastructure of Yektanet. Responsibilities: Build scalable and distributed pipelines for data preparation, feature engineering, and model training at scale using technologies like Spark. Develop, improve, and deploy scalable machine learning models to drive core product capabilities and business values. Optimize models for real-time serving (less than 5ms latency). Set up and maintain MLOps infrastructure for, data pipelines, feature store, experiment tracking, model deployment, serving and monitoring. Collaborate with cross-functional teams, including data engineers, software engineers, and other stakeholders to identify and execute on ML opportunities across Yektanet's products and services. Required Skills: 2+ years experience building and deploying machine learning systems at scale. Expertise in Python and developing large-scale data pipelines (e.g. using Spark). Experience with common ML libraries including scikit-learn, pandas, Spark MLlib, and PyTorch/Tensorflow. Ability to iterate quickly and adapt models based on business and product needs. Ability to serve models using various technologies including flask, gRPC and TensorFlow/PyTorch serving. Strong foundation in machine learning fundamentals and ability to understand model internals, performance, and continued improvement opportunities. Bonus Skills: Experience with stream processing of big data. Experience with low-latency machine learning serving techniques. Experience with MLOps and DevOps practices and tools.",توافقی,تمام‌وقت,استاندارد,https://jobinja.ir/companies/yektanet/jobs/teCj/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-machine-learning-engineer-%D8%AF%D8%B1-%DB%8C%DA%A9%D8%AA%D8%A7%D9%86%D8%AA?_ref=16&_t=3138382e3131382e37342e313133,Jobinja
2025-10-06 09:53:45,Senior Machine Learning Engineer (یزد),N/A,یزد، یزد,"About the Role We are seeking a talented Senior Machine Learning Engineer to lead the development and deployment of advanced NLP, information retrieval, and AI agent solutions. You will architect production-ready ML systems using the latest technologies, with a focus on large language models (LLMs), vector databases, and agent frameworks. Key Responsibilities • Design, develop, and deploy end-to-end ML solutions, with a focus on NLP, information retrieval, and LLM-driven applications. • Build and optimize production-grade systems leveraging vector databases, LLMs, and frameworks like LangChain and pydantic. • Develop and maintain APIs and backend services using FastAPI. • Collaborate cross-functionally to translate business needs into robust, scalable technical solutions. • Ensure code quality and delivery pipelines using CI/CD (GitHub Actions) and containerization (Docker). • Research and evaluate new technologies, frameworks, and architectures for continuous innovation. • Operate in a cloud-first environment (AWS or Azure) for scalable and reliable deployments. • Mentor junior engineers and share knowledge with the wider team. Required Skills & Experience • NLP & Information Retrieval: Deep experience with natural language processing, semantic search, and vector databases. • LLMs & AI Agents: Hands-on expertise with large language models, generative AI, and agent frameworks (e.g., LangChain, OpenAI/Claude APIs, pydantic). • Production Systems: Proven ability to build, deploy, and maintain production-ready ML systems. • Cloud Platforms: Strong experience with AWS or Azure is a must. • APIs & Infrastructure: Proficient in FastAPI, Docker, CI/CD (especially GitHub Actions). • Software Engineering: Strong background in software engineering best practices, code reviews, and version control. • Research Mindset: Ability to stay updated with state-of-the-art ML research and translate theory into practice. • Communication: Proficient in English, with strong written and verbal communication skills. • Mindset: Proactive, solutions-oriented, and thrives in a collaborative, fast-paced environment. Nice to Have • Experience with additional ML frameworks or deployment tools. • Contributions to open-source projects in the ML/AI space. • Familiarity with MLOps practices and monitoring/observability of ML systems. A very important additional footnote : In-person job position in Yazd",توافقی,تمام‌وقت,استاندارد,https://jobinja.ir/companies/finitx/jobs/tJFM/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-senior-machine-learning-engineer-%DB%8C%D8%B2%D8%AF-%D8%AF%D8%B1-%D8%AF%D8%B1%D8%A7%DB%8C%D8%AA-%D9%BE%D9%88%DB%8C%D8%A7%D9%86-%D9%86%D8%B3%D9%84-%D8%A2%D9%81%D8%AA%D8%A7%D8%A8-%D8%AF%D9%BE%D9%86%D8%A7?_ref=16&_t=3138382e3131382e37342e313133,Jobinja
2025-10-06 09:53:49,متخصص هوش مصنوعی و یادگیری ماشین (AI/ML Engineer),N/A,تهران، تهران,"ما به دنبال یک متخصص هوش مصنوعی با تجربه هستیم که بتواند یک سیستم پیش‌بینی‌کننده ساده و کاربردی طراحی کند. شما مسئول توسعه مدل‌های اولیه، پردازش داده‌ها و ارائه پروتوتایپی خواهید بود که برای کاربران غیرفنی قابل استفاده باشد. این پروژه در فاز ابتدایی است و نیاز به خلاقیت و دقت بالا دارد. مسئولیت‌ها: توسعه مدل‌های یادگیری ماشین برای تحلیل داده‌های ساختارمند. آماده‌سازی و پاک‌سازی داده‌ها با رعایت اصول محرمانگی. ایجاد یک رابط کاربری ساده (مثل داشبورد یا اپلیکیشن پایه) برای نمایش نتایج. همکاری با تیم برای بهینه‌سازی و تحویل پروژه در زمان مشخص. ارائه گزارش‌های واضح و ساده از پیشرفت پروژه. مهارت‌ها و شرایط احراز: الزامات ضروری: مدرک لیسانس (یا بالاتر) در علوم کامپیوتر، هوش مصنوعی یا رشته‌های مرتبط. حداقل ۲ سال تجربه عملی در توسعه پروژه‌های یادگیری ماشین با Python. تسلط به کتابخانه‌های ML مانند Scikit-learn, TensorFlow یا PyTorch. تجربه در پردازش داده‌های ناقص یا ساختارمند با ابزارهایی مثل Pandas یا NumPy. توانایی ارائه توضیحات ساده و قابل فهم برای مخاطبان غیرفنی. امتیازات مثبت: تجربه در پروژه‌های حساس با داده‌های واقعی (ترجیحاً در حوزه‌های اجتماعی یا عمومی). آشنایی با اصول محرمانگی داده (مانند GDPR یا استانداردهای مشابه). داشتن نمونه‌کار قابل بررسی در GitHub یا پلتفرم‌های مشابه (لطفاً لینک ارائه دهید). تجربه کار با فریم‌ورک‌های چندایجنتی (مثل AutoGen) یا APIهای هوش مصنوعی. مهارت‌های نرم: حل مسئله قوی و توانایی کار در پروژه‌های استارتاپی. تعهد کامل به محرمانگی پروژه و رعایت اصول حرفه‌ای.",توافقی,تمام‌وقت,استاندارد,https://jobinja.ir/companies/zeus-ai/jobs/tJZK/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D9%85%D8%AA%D8%AE%D8%B5%D8%B5-%D9%87%D9%88%D8%B4-%D9%85%D8%B5%D9%86%D9%88%D8%B9%DB%8C-%D9%88-%DB%8C%D8%A7%D8%AF%DA%AF%DB%8C%D8%B1%DB%8C-%D9%85%D8%A7%D8%B4%DB%8C%D9%86-ai-ml-engineer-%D8%AF%D8%B1-%D9%87%D9%88%D8%B4-%D9%85%D8%B5%D9%86%D9%88%D8%B9%DB%8C-%D8%B2%D8%A6%D9%88%D8%B3?_ref=16&_t=3138382e3131382e37342e313133,Jobinja
2025-10-06 09:53:52,متخصص هوش مصنوعی,N/A,تهران، تهران,طراحی و توسعه الگوریتم‌های یادگیری ماشین و برنامه‌ها و سیستم‌های یادگیری عمیق حل مسائل پیچیده با مجموعه داده‌های چندلایه و بهینه‌سازی کتابخانه‌ها و چارچوب‌های یادگیری ماشین موجود اطمینان از تولید توصیه‌های دقیق توسط الگوریتم‌ها به‌روز ماندن با پیشرفت‌ها در صنعت یادگیری ماشین مسئولیت‌ها مطالعه و تبدیل نمونه‌های اولیه علوم داده و به‌کارگیری الگوریتم‌ها و ابزارهای مناسب یادگیری ماشین اجرای تست‌ها و آزمایش‌های یادگیری ماشین و مستندسازی یافته‌ها و نتایج آموزش، بازآموزی و نظارت بر سیستم‌ها و مدل‌های یادگیری ماشین در صورت نیاز گسترش کتابخانه‌ها و چارچوب‌های یادگیری ماشین موجود مهارت‌ها و صلاحیت‌ها مهارت‌های ریاضی و کامپیوتر، با درک عمیق از احتمال، آمار و الگوریتم‌ها دانش عمیق از چارچوب‌های یادگیری ماشین، مانند Keras یا PyTorch آشنایی با ساختارهای داده، مدل‌سازی داده و معماری نرم‌افزار آشنایی با پایتون، جاوا و R مهارت‌های عالی در ارتباط و همکاری ذهن خلاق با اشتیاق به یادگیری مداوم مدرک لیسانس (یا معادل آن) در علوم کامپیوتر، ریاضیات یا رشته‌های مرتبط,توافقی,تمام‌وقت,استاندارد,https://jobinja.ir/companies/aiko/jobs/tzye/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D9%85%D8%AA%D8%AE%D8%B5%D8%B5-%D9%87%D9%88%D8%B4-%D9%85%D8%B5%D9%86%D9%88%D8%B9%DB%8C-%D8%AF%D8%B1-%D8%A2%D8%B1%D9%85%D8%A7%D9%86-%D8%A7%DB%8C%D9%85%D9%86-%DA%A9%D9%88%D9%87%D8%B3%D8%AA%D8%A7%D9%86?_ref=16&_t=3138382e3131382e37342e313133,Jobinja
2025-10-06 09:53:55,Software Developer,N/A,تهران، تهران,"Job Opening: Developer Location: Tehran-based Team Size: Small, agile, and passionate Type: Full-time About Us We're a tight-knit team working at the intersection of finance and technology. Our mission? Build smart, fast, and reliable trading bots for the crypto markets. We thrive on precision, experimentation, and staying ahead of the curve in a space that never sleeps. What You’ll Do Design, develop, and maintain automated trading systems for crypto assets Integrate with other systems via REST/WebSocket APIs Optimize execution strategies for latency Monitor performance and troubleshoot live systems Collaborate on strategy design and system architecture What We’re Looking For Strong programming skills in Python (or Node.js) Strong problem-solving skills Solid understanding of data structures , multithreading , and networking Comfort with Linux , Docker , and Git Bonus: Experience with machine learning and AI You’ll Fit Right In If You… Love solving complex problems with clean code Enjoy working in a fast-paced, experimental environment Can communicate clearly and collaborate asynchronously Are self-driven and take ownership of your work What We Offer Competitive compensation Direct impact on product and strategy A chance to grow with a team that values creativity and precision",توافقی,تمام‌وقت,استاندارد,https://jobinja.ir/companies/ararat-5/jobs/tJXo/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-software-developer-%D8%AF%D8%B1-%D8%A7%D9%81%D8%B1%D8%A7-%D8%AA%D8%AC%D8%A7%D8%B1%D8%AA-%D8%A2%D8%AF%D9%86%D9%8A%D8%B3?_ref=16&_t=3138382e3131382e37342e313133,Jobinja
2025-10-06 09:53:59,اپراتور دستگاه حفاری (آقا-کازرون),N/A,فارس، کازرون,تسلط کامل به امور اپراتوری و مکانیکی جزئی دستگاه‌های حفاری. استفاده از انواع دستگاه‌های حفاری. حفاری در پروژه‌های معدنی و تونل راه، آب، سد شهرستان‌ها. تسلط کامل به انواع دستگاه‌های روتاری حفاری (دستگاه‌های مانند راسل-دریل واگن-مدادی-رودهدر-جنبو-XY1 و...). دارای تجربه کافی در حفاری تونل. تسلط کامل به محیط‌های تونلی و زیرزمینی. دارای تجربه کافی در راهبری دستگاه حفاری رودهدر در انواع حفاری تونل‌ها. دارای آمادگی جسمانی جهت کار در محیط‌های تونلی. با حقوق ثابت + پورسانت و پاداش + بیمه تامین اجتماعی + بیمه مسئولیت + جای خواب + غذا.,توافقی,تمام‌وقت,استاندارد,https://jobinja.ir/companies/astiyaj-machine/jobs/Cjjd/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A7%D9%BE%D8%B1%D8%A7%D8%AA%D9%88%D8%B1-%D8%AF%D8%B3%D8%AA%DA%AF%D8%A7%D9%87-%D8%AD%D9%81%D8%A7%D8%B1%DB%8C-%D8%A2%D9%82%D8%A7-%DA%A9%D8%A7%D8%B2%D8%B1%D9%88%D9%86-%D8%AF%D8%B1-%D8%A2%D8%B3%D8%AA%DB%8C%D8%A7%DA%98-%D9%85%D8%A7%D8%B4%DB%8C%D9%86?_ref=16&_t=3138382e3131382e37342e313133,Jobinja
2025-10-06 09:54:02,کمک انباردار(آقا-اصفهان),N/A,اصفهان، اصفهان,تمام مسایل مربوط به انبار داری. کار با کامپیوتر . ورود و خروج و بارگیری جابجایی قطعات,توافقی,تمام‌وقت,استاندارد,https://jobinja.ir/companies/isfahan-machine/jobs/tFgc/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D9%85%DA%A9-%D8%A7%D9%86%D8%A8%D8%A7%D8%B1%D8%AF%D8%A7%D8%B1-%D8%A2%D9%82%D8%A7-%D8%A7%D8%B5%D9%81%D9%87%D8%A7%D9%86-%D8%AF%D8%B1-%D8%A7%D8%B5%D9%81%D9%87%D8%A7%D9%86-%D9%85%D8%A7%D8%B4%DB%8C%D9%86?_ref=16&_t=3138382e3131382e37342e313133,Jobinja
2025-10-06 09:54:06,تکنسین فنی برق (تعمیر و نگهداری-آقا),N/A,تهران، تهران,وظایف شرکت هیوا ماشین در راستای تکمیل کادر فنی خود، از واجدین شرایط برای همکاری در سمت تکنسین نگهداری و تعمیرات دعوت بعمل می آورد. شرح وظایف: انجام برنامه های نگهداری پیشگیرانه و دوره ای مطابق با دستورالعمل ها و استانداردهای شرکت انجام عیب یابی و تعمیرات غیر برنامه ای واکنش سریع به خرابی ها و انجام تعمیرات اضطراری برای بازگرداندن دستگاه به حالت عملیاتی در کمترین زمان ممکن ثبت و مستندسازی فعالیت های روزانه به طور دقیق و منظم مهارت ها و توانایی ها: مهارت در خواندن نقشه های فنی و عیب یابی تجهیزات توانایی کار با ابزارهای اندازه گیری و تست تجهیزات آشنایی به اصول نگهداری و تعمیرات ماشین آلات صنعتی دارای سلامت و فیزیک بدنی مناسب آمادگی و توانایی کار در محیط باز آشنایی به سیستم های برودتی مزیت محسوب می شود شایستگی ها: پیگیر و مسئولیت پذیر توانایی انجام کار گروهی منظم و دقیق دارای روابط عمومی قوی توجه داشته باشید: این موقعیت شغلی دارای کار عملی و اجرایی (دست به آچار) می باشد. حقوق پرداختی مطابق با سطح دانش و توانایی فرد تعیین می گردد.,توافقی,تمام‌وقت,استاندارد,https://jobinja.ir/companies/hiva-machine-holding/jobs/t0iJ/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%AA%DA%A9%D9%86%D8%B3%DB%8C%D9%86-%D9%81%D9%86%DB%8C-%D8%A8%D8%B1%D9%82-%D8%AA%D8%B9%D9%85%DB%8C%D8%B1-%D9%88-%D9%86%DA%AF%D9%87%D8%AF%D8%A7%D8%B1%DB%8C-%D8%A2%D9%82%D8%A7-%D8%AF%D8%B1-%D9%87%D9%84%D8%AF%DB%8C%D9%86%DA%AF-%D9%87%DB%8C%D9%88%D8%A7-%D9%85%D8%A7%D8%B4%DB%8C%D9%86?_ref=16&_t=3138382e3131382e37342e313133,Jobinja
2025-10-06 09:54:09,کارشناس فروش و بازاریابی,N/A,تهران، تهران,به یک نیروی کارشناس فروش و بازاریابی نیازمندیم . مسلط به اکسل و وورد. ساعات کاری از شنبه تا چهارشنبه از ساعت 8 صبح لغایت 5 عصر و پنج شنبه های تعطیل میباشد . حقوق پایه به همراه پورسانت - به علاوه وعده صبحانه و ناهار.,توافقی,تمام‌وقت,استاندارد,https://jobinja.ir/companies/spadana-vending-machine-1/jobs/tcJ8/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D9%81%D8%B1%D9%88%D8%B4-%D9%88-%D8%A8%D8%A7%D8%B2%D8%A7%D8%B1%DB%8C%D8%A7%D8%A8%DB%8C-%D8%AF%D8%B1-%D9%85%D9%87%D9%86%D8%AF%D8%B3%DB%8C-%D8%AA%D9%88%D8%B3%D8%B9%D9%87-%D8%A7%D9%86%D8%AF%DB%8C%D8%B4-%D8%A7%D8%B3%D9%BE%D8%A7%D8%AF%D8%A7%D9%86%D8%A7?_ref=16&_t=3138382e3131382e37342e313133,Jobinja
2025-10-06 09:54:13,کارمند خدمات و تشریفات (آقا),N/A,تهران، تهران,عنوان شغلی: نیروی تشریفات (خدمات و پذیرایی) شرح شغل: پذیرایی از مهمانان سرو ناهار نظافت واحدهای اداری نظافت محوطه شرکت شرایط احراز: آشنایی با امور پذیرایی و تشریفات شرایط کاری: محدوده: شرق تهران_ ابتدای خیابان اتحاد ساعت کاری: شنبه الی چهارشنبه 07:00 الی 17:00- پنجشنبه‌ها یک هفته درمیان 7:00 الی 12:00 مزایا: بیمه‌ی تکمیلی رایگان تا سقف 4 نفر ناهار پاداش پایان سال ارزاق معیشتی هدایا و مراسم‌های مناسبتی,توافقی,تمام‌وقت,استاندارد,https://jobinja.ir/companies/nekoo-behine-mashin-nbm/jobs/tL71/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D8%A7%D8%B1%D9%85%D9%86%D8%AF-%D8%AE%D8%AF%D9%85%D8%A7%D8%AA-%D9%88-%D8%AA%D8%B4%D8%B1%DB%8C%D9%81%D8%A7%D8%AA-%D8%A2%D9%82%D8%A7-%D8%AF%D8%B1-%D9%86%DA%A9%D9%88-%D8%A8%D9%87%DB%8C%D9%86%D9%87-%D9%85%D8%A7%D8%B4%DB%8C%D9%86?_ref=16&_t=3138382e3131382e37342e313133,Jobinja
2025-10-06 09:54:17,مدیر بازاریابی و فروش (آقا),N/A,تهران، تهران,شرح وظایف: تحلیل بازار، رقبا و مشتریان هدف انجام تحقیقات بازار برای شناسایی فرصت‌های جدید برنامه ریزی، تدوین و اجرای استراتژی‌های فروش و طرح‌های بازاریابی ایجاد ارتباط موثر و حرفه‌ای با مشتریان برنامه ریزی و اجرای فعالیت‌های مرتبط در جهت جذب مشتریان جدید قابلیت ارائه ایده‌های تبلیغاتی و پروموشن‌های فروش و برگزاری کمپین‌های فروش و بازاریابی ارتباط موثر و مستمر با تیم فروش تامین کنندگان خارجی هماهنگی و همکاری موثر و مستمر با واحد خدمات پس از فروش جهت ایجاد و استمرار خدمات پشتیبانی محصولات شرکت مستندسازی و ارائه گزارش‌های مدیریتی در حوزه فروش طراحی و اجرای برنامه‌های آموزش و توسعه تیم فروش تفویض موثر وظایف به اعضای تیم فروش با هدف افزایش بهره‌وری و رشد فردی کارکنان و نیز تمرکز بیشتر بر مدیریت شناسایی و پرورش استعدادهای داخلی برای جانشینی سمت‌های کلیدی فروش حضور موثر در نمایشگاه‌های خارجی و داخلی و ماموریت‌های خارج از کشور شرایط احراز: ویژگی‌های رفتاری و شخصیتی توانایی رهبری و مدیریت دارای روابط عمومی بالا و توانایی مذاکره موثر مهارت فنی و تخصصی توان و سابقه ی بالا در مدیریت فروش به صورت حرفه‌ای ترجیحا تحصیلات مهندسی مکانیک / پلیمر زبان انگلیسی خوب یا بالاتر از متوسط مسلط به اصول بازاریابی و بازرگانی خارجی آشنایی با اصول قیمت‌گذاری و مدیریت قراردادهای فروش تسلط به تجزیه و تحلیل داده‌ها و روندهای بازار و رقبا تسلط به تدوین و اجرا و تحلیل استراتژی‌های فروش شرایط کاری: محدوده : شرق تهران_ ابتدای خیابان اتحاد ساعت کاری: شنبه الی چهارشنبه 08:00 الی 17:18 به همراه نیم ساعت شناوری مزایا: بیمه‌ی تکمیلی رایگان تا سقف 4 نفر ناهار پاداش پایان سال ارزاق معیشتی هدایا و مراسم‌های مناسبتی,توافقی,تمام‌وقت,استاندارد,https://jobinja.ir/companies/nekoo-behine-mashin-nbm/jobs/tASX/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D9%85%D8%AF%DB%8C%D8%B1-%D8%A8%D8%A7%D8%B2%D8%A7%D8%B1%DB%8C%D8%A7%D8%A8%DB%8C-%D9%88-%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%82%D8%A7-%D8%AF%D8%B1-%D9%86%DA%A9%D9%88-%D8%A8%D9%87%DB%8C%D9%86%D9%87-%D9%85%D8%A7%D8%B4%DB%8C%D9%86?_ref=16&_t=3138382e3131382e37342e313133,Jobinja
2025-10-06 09:54:20,مدیر دیجیتال مارکتینگ (خانم-تبریز),N/A,آذربایجان شرقی، تبریز,• ساکن تبریز • جنسیت خانم • دارای سابقه کار در حوزه مدیر دیجیتال مارکتینگ (E-commerce) • تجربه قابل ارائه در تدوین استراتژی و مدیریت دیجیتال مارکتینگ. • تسلط بر مفاهیم کلیدی سئو، بازاریابی محتوا، بازاریابی شبکه‌های اجتماعی و تبلیغات دیجیتال • تسلط بر ابزارهای تحلیلی (مانند Google Analytics)، ابزارهای سئو و اد نتورک‌های تبلیغاتی. • دارای مهارت‌های رهبری، ارتباطی قوی و توانایی حل مسئله. • نظارت بر استراتژی شبکه‌های اجتماعی با هدف افزایش ترافیک وبسایت و آگاهی از برند. • طراحی، اجرا و بهینه‌سازی کمپین‌های تبلیغاتی در پلتفرم‌های مختلف (مانند گوگل ادز و ...) • مسلط به کلیه شاخص های ارزیابی فضاهای آنلاین تبلیغاتی • مدیریت، تخصیص و بهینه‌سازی بودجه دیجیتال مارکتینگ در کانال‌های مختلف برای دستیابی به حداکثر ROI.,توافقی,تمام‌وقت,استاندارد,https://jobinja.ir/companies/parsian-machine-sazan-tabriz/jobs/tFN8/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D9%85%D8%AF%DB%8C%D8%B1-%D8%AF%DB%8C%D8%AC%DB%8C%D8%AA%D8%A7%D9%84-%D9%85%D8%A7%D8%B1%DA%A9%D8%AA%DB%8C%D9%86%DA%AF-%D8%AE%D8%A7%D9%86%D9%85-%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2-%D8%AF%D8%B1-%D9%BE%D8%A7%D8%B1%D8%B3%DB%8C%D8%A7%D9%86-%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B3%D8%A7%D8%B2%D8%A7%D9%86-%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2?_ref=16&_t=3138382e3131382e37342e313133,Jobinja
2025-10-06 09:54:23,منشی و مسئول دفتر (خانم),N/A,تهران، تهران,با سلام نیازمند منشی با روابط عمومی خوب و با تعهد به کار و توانا در صحبت کردن و هماهنگی لطفا رزومه خود را بفرستید اشنا با سیستم و اکسل نظم در محیط کار ساعت کاری شنبه تا چهارشنبه 8:30 الی 19 پنج شنبه 8:30 الی 16,توافقی,تمام‌وقت,استاندارد,https://jobinja.ir/companies/nasr-dookht-machine-co/jobs/tzdY/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D9%85%D9%86%D8%B4%DB%8C-%D9%88-%D9%85%D8%B3%D8%A6%D9%88%D9%84-%D8%AF%D9%81%D8%AA%D8%B1-%D8%AE%D8%A7%D9%86%D9%85-%D8%AF%D8%B1-%D9%86%D8%B5%D8%B1-%D8%AF%D9%88%D8%AE%D8%AA-%D9%85%D8%A7%D8%B4%DB%8C%D9%86?_ref=16&_t=3138382e3131382e37342e313133,Jobinja
2025-10-06 09:54:27,کارشناس خدمات پس از فروش,N/A,تهران، تهران,شرایط استخدام رفتار حرفه ای و سازمانی فن بیان و پاسخگویی عالی ظاهری آراسته و اخلاق حرفه ای آشنا با نرم افزار سروشان و اکسل و کار با کامپیوتر شرایط و ویژگی های فردی مورد نیاز صبور و خوش برخورد- کار تیمی - متعهد به کار - منظم علاقمند به پیشرفت و یادگیری شرایط کاری شرکت شنبه تا چهارشنبه - 8:30 الی 18 . پنج شنبه 8:30 الی 16,توافقی,تمام‌وقت,استاندارد,https://jobinja.ir/companies/nasr-dookht-machine-co/jobs/tSdX/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D8%AE%D8%AF%D9%85%D8%A7%D8%AA-%D9%BE%D8%B3-%D8%A7%D8%B2-%D9%81%D8%B1%D9%88%D8%B4-%D8%AF%D8%B1-%D9%86%D8%B5%D8%B1-%D8%AF%D9%88%D8%AE%D8%AA-%D9%85%D8%A7%D8%B4%DB%8C%D9%86?_ref=16&_t=3138382e3131382e37342e313133,Jobinja
2025-10-06 09:54:30,کارشناس یادگیری ماشین (Machine Learning),N/A,تهران، تهران,تحصیلات: لیسانس و بالاتر در رشته‌های مهندسی کامپیوتر، برق و فناوری اطلاعات دانش، مهارت‌ها و توانایی‌ها: * تسلط کافی به زبان‌های برنامه‌نویسی Python و کتابخانه‌های ML/DL مانند Scikit-learn، XGBoost، CatBoost، PyTorch یا TensorFlow * آشنایی با SQL و پایگاه‌های داده (SQL Server) * تجربه در کار با داده‌های حجیم و ابزارهای تحلیل داده (Spark، Hadoop مزیت محسوب می‌شود) * طراحی، آموزش و استقرار مدل‌های یادگیری ماشین ML و یادگیری عمیق DL * تحلیل داده‌های بزرگ و استخراج ویژگی‌های معنادار برای مدل‌ها * همکاری با تیم‌های BI و IT جهت یکپارچه‌سازی مدل‌ها در سامانه‌های عملیاتی * ارزیابی و بهینه‌سازی عملکرد مدل‌ها شرایط کاری: * ساعات کار: شنبه تا چهارشنبه از ساعت 07:30 تا 15:45 (1 ساعت شناوری) * مزایا: ناهار، وام، بسته ها و هدایای مناسبتی، پاداش *محل کار: جردن، خیابان سلطانی,توافقی,تمام‌وقت,استاندارد,https://jobinja.ir/companies/parsian-e-commerce/jobs/tzyi/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%DB%8C%D8%A7%D8%AF%DA%AF%DB%8C%D8%B1%DB%8C-%D9%85%D8%A7%D8%B4%DB%8C%D9%86-machine-learning-%D8%AF%D8%B1-%D8%AA%D8%AC%D8%A7%D8%B1%D8%AA-%D8%A7%D9%84%DA%A9%D8%AA%D8%B1%D9%88%D9%86%DB%8C%DA%A9-%D9%BE%D8%A7%D8%B1%D8%B3%DB%8C%D8%A7%D9%86?_ref=16&_t=3138382e3131382e37342e313133,Jobinja
2025-10-06 09:54:33,کارشناس یادگیری ماشین (Machine Learning-دورکاری-یزد),N/A,یزد، یزد,مهارت های مورد نیاز: Computer Vision Machin Learning Deep Learning NLP آشنایی با زبان انگلیسی در حد conversational نکات: در نظر داشته باشید که داشتن دانش در هر یک از زمینه های فوق الذکر برای شرکت در مصاحبه کافی می باشد. داشتن چندین تخصص امتیاز محسوب می شود. آشنایی با زبان پایتون الزامی است. پ ن: همکاری در این موقعیت شغلی به صورت دورکاری و تمام وقت است.,توافقی,دورکاری,استاندارد,https://jobinja.ir/companies/finitx/jobs/t0B5/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%DB%8C%D8%A7%D8%AF%DA%AF%DB%8C%D8%B1%DB%8C-%D9%85%D8%A7%D8%B4%DB%8C%D9%86-machine-learning-%D8%AF%D9%88%D8%B1%DA%A9%D8%A7%D8%B1%DB%8C-%DB%8C%D8%B2%D8%AF-%D8%AF%D8%B1-%D8%AF%D8%B1%D8%A7%DB%8C%D8%AA-%D9%BE%D9%88%DB%8C%D8%A7%D9%86-%D9%86%D8%B3%D9%84-%D8%A2%D9%81%D8%AA%D8%A7%D8%A8-%D8%AF%D9%BE%D9%86%D8%A7?_ref=16&_t=3138382e3131382e37342e313133,Jobinja
